FECHA	HORA	NH3	SO2	NO	NO2	NOx	O3
26/01/2023	22	3	3	45	51	120	1
26/01/2023	23	3	3	21	45	78	1
27/01/2023	00	2	3	9	45	58	1
27/01/2023	01	2	3	5	35	41	7
27/01/2023	02	2	3	2	28	32	11
27/01/2023	03	2	3	2	23	27	16
27/01/2023	04	2	3	9	25	39	17
27/01/2023	05	2	3	4	21	27	24
27/01/2023	06	3	3	14	38	59	3
27/01/2023	07	3	3	62	49	143	1
27/01/2023	08	3	3	110	59	227	1
27/01/2023	09	3	3	35	45	97	11
27/01/2023	10	3	3	31	39	86	16
27/01/2023	11	3	3	16	24	49	33
27/01/2023	12	5	3	5	8	16	61
27/01/2023	13	6	3	8	15	27	61
27/01/2023	14	7	3	11	19	35	57
27/01/2023	15	7	3	9	17	30	62
27/01/2023	16	6	3	6	13	22	71
27/01/2023	17	5	3	7	20	30	65
27/01/2023	18	5	3	13	43	63	32
27/01/2023	19	5	3	58	73	163	1
27/01/2023	20	4	3	29	63	107	6
27/01/2023	21	3	3	11	49	66	14
27/01/2023	22	3	3	15	48	71	8
27/01/2023	23	3	3	8	34	46	20
28/01/2023	00	2	3	2	12	15	52
28/01/2023	01	3	3	2	6	9	54
28/01/2023	02	2	3	2	3	6	60
28/01/2023	03	2	3	2	4	8	60
28/01/2023	04	2	3	2	4	6	60
28/01/2023	05	2	3	2	7	10	52
28/01/2023	06	2	3	2	17	19	27
28/01/2023	07	2	3	2	25	29	18
28/01/2023	08	2	3	5	22	28	29
28/01/2023	09	3	3	8	21	33	30
28/01/2023	10	3	3	8	15	27	42
28/01/2023	11	4	3	6	10	19	58
28/01/2023	12	5	3	7	9	19	67
28/01/2023	13	6	3	6	11	20	68
28/01/2023	14	6	3	7	12	21	71
28/01/2023	15	6	3	4	8	14	77
28/01/2023	16	6	3	4	9	16	79
28/01/2023	17	5	3	5	13	19	73
28/01/2023	18	5	3	7	30	41	48
28/01/2023	19	4	3	14	53	74	15
28/01/2023	20	5	3	48	64	138	1
28/01/2023	21	3	3	47	63	135	2
28/01/2023	22	4	3	13	47	67	3
28/01/2023	23	3	3	3	34	39	12
29/01/2023	00	3	3	2	20	24	30
29/01/2023	01	3	3	2	22	24	28
29/01/2023	02	2	3	2	13	16	38
29/01/2023	03	2	3	2	7	10	48
29/01/2023	04	2	3	2	8	10	45
29/01/2023	05	2	3	2	9	11	42
29/01/2023	06	2	3	2	9	12	43
